出表日期,交易日期,權證代號,權證名稱,成交金額,成交數量
"1150529","1150529","041662","京元電中信5A購01","45170.00","19000"
"1150529","1150529","041661","國巨中信5A購02","15200.00","1000"
"1150529","1150529","041658","元金2X中信5A購04","18930.00","86000"
"1150529","1150529","042029","仁寶中信56購01","0.00","0"
"1150529","1150529","042027","SGBR2X中信5A購01","0.00","0"
"1150529","1150529","042026","元黃金中信5A購03","15520.00","69000"
"1150529","1150529","042032","國巨中信5A購03","50500.00","6000"
"1150529","1150529","042031","國巨中信59購04","0.00","0"
"1150529","1150529","042030","國巨中信58購02","0.00","0"
"1150529","1150529","042038","康舒中信5A購01","186800.00","195000"
"1150529","1150529","041844","昇陽半中信56購01","0.00","0"
"1150529","1150529","042039","緯穎中信5A購04","73510.00","46000"
"1150529","1150529","041842","臻鼎中信5A購01","0.00","0"
"1150529","1150529","042092","台積電兆豐56購02","0.00","0"
"1150529","1150529","042093","世芯兆豐56購01","137800.00","70000"
"1150529","1150529","041857","仁寶兆豐56購01","9000.00","40000"
"1150529","1150529","041840","智原中信5A購01","0.00","0"
"1150529","1150529","042034","華新科中信57購01","0.00","0"
"1150529","1150529","041841","緯創中信57購02","4280.00","7000"
"1150529","1150529","048269","漢唐中信56購01","0.00","0"
"1150529","1150529","048270","華新科中信5C購01","0.00","0"
"1150529","1150529","048266","智邦中信5C購06","0.00","0"
"1150529","1150529","048271","凱基金中信5A購01","187300.00","110000"
"1150529","1150529","048272","奇鋐中信56購02","0.00","0"
"1150529","1150529","048264","國巨中信5C購03","0.00","0"
"1150529","1150529","048268","威盛中信5C購01","0.00","0"
"1150529","1150529","048267","金像電中信5C購04","5750.00","1000"
"1150529","1150529","048273","台虹中信59購02","725420.00","301000"
"1150529","1150529","048452","台積電中信5C購01","0.00","0"
"1150529","1150529","048454","奇鋐中信56購03","0.00","0"
"1150529","1150529","048453","智邦中信5C購07","0.00","0"
"1150529","1150529","048457","富世達中信56購03","0.00","0"
"1150529","1150529","048458","富世達中信56購04","0.00","0"
"1150529","1150529","048455","亞翔中信5C購04","11500.00","10000"
"1150529","1150529","048456","力積電中信56購03","0.00","0"
"1150529","1150529","048673","T50正2中信5C購01","0.00","0"
"1150529","1150529","048676","台達電中信5C購05","0.00","0"
"1150529","1150529","048681","亞翔中信5C購05","68250.00","61000"
"1150529","1150529","048680","亞翔中信5B購03","22340.00","15000"
"1150529","1150529","048678","金像電中信56購02","0.00","0"
"1150529","1150529","048683","南電中信56購01","0.00","0"
"1150529","1150529","048674","香港2X中信5C購01","19660.00","46000"
"1150529","1150529","048679","神達中信56購03","0.00","0"
"1150529","1150529","048675","道瓊銀中信5C購01","4050.00","5000"
"1150529","1150529","048682","緯穎中信5C購03","0.00","0"
"1150529","1150529","048862","緯穎中信5C購04","6600.00","5000"
"1150529","1150529","048860","聯發科中信56購01","0.00","0"
"1150529","1150529","048858","華新中信56購01","0.00","0"
"1150529","1150529","048859","台積電中信5C購03","185000.00","60000"
"1150529","1150529","048861","世芯中信5C購02","0.00","0"
"1150529","1150529","052474","大同兆豐57購02","31000.00","100000"
"1150529","1150529","052477","AES兆豐59購01","6900.00","15000"
"1150529","1150529","052706","大量兆豐59購01","157600.00","11000"
"1150529","1150529","052709","可寧衛兆豐61購01","28560.00","168000"
"1150529","1150529","05708U","台積電中信59售01","28000.00","200000"
"1150529","1150529","057201","台光電兆豐5A購02","383400.00","49000"
